"ranking","Chinese.origin.data","Yandex.translated.data","Baidu.English.sentiment.analysis.postitive.probability.base.on.Yandex.translated.data."
50,"4JIA1","4JIA1",1
50,"fengci","fengci",1
50,"SHZGRKDDY","SHZGRKDDY",1
50,"testtest","testtest",1
50,"人性的关怀","Humanity",1
50,"发人深省","Thought-provoking",1
50,"可圈可点","Remarkable",1
50,"喜剧","Comedy",1
50,"喜剧，讽刺","Comedy, satire",1
50,"好看，幽默","Good-looking, humorous",1
50,"寓言故事","Fable",1
50,"恶心喷子","Nausea spout",1
50,"挺好玩","Fun",1
50,"挺有教育意义的","Quite educational",1
50,"提倡环保","Promote environmental protection",1
50,"有意义","Meaningful",1
50,"深奥","Esoteric",1
50,"环保","Environmental",1
50,"白日梦般的现实","Daydream-like reality",1
50,"精彩","Wonderful",1
50,"讽刺的喜剧","Satirical Comedy",1
50,"诙谐讽刺有内涵","Witty sarcastic connotation",1
