"ranking","Chinese.origin.data","Baidu.translated.data","Baidu.English.sentiment.analysis.postitive.probability.base.on.Baidu.translated.data."
10,".私人定制.这种强奸院线的电影，还好意思说自己几天票房超了泰囧，我们看泰囧的时，院线里四五个片子上映好么，现在所有院线只有你一部片子好么！能不能注意点品质和素质，人家泰囧的评分是8.9好么，人家是导演诚意之作好么，私人评分是5分好么，导演为票房糊弄人好么，看完大家都想对你说fuck好么！！","Private custom. The cinema. Rape movie, the nerve to say yourself for a few days at the box office over the Thai US embarrassed, embarrassed when Thai cinema, in the four or five movie on you, now you are the only one movie theaters all good mody! Can you pay attention to the quality and the quality of the Thai people embarrassed score is 8.9 good, people is the director of sincerity for you, private score is 5 good, the director for the box office to fool people well, watching everyone want to say fuck good for you!!",0.937258
10,"06年K歌时很屌的唱着双截棍、忍者、龙拳，周围同事朋友纷纷骂着你丫90后啊，这么潮的歌你也会唱。13年还唱着同样的歌，周围的人该干嘛干嘛根本没人理你。97年再好看的片子，放到现在的审美也看不下去了吧，更何况比起97年的那部片子，这部简直就是坑蒙拐骗毫无诚意。别说花钱去电影院了，网上看不要钱","06 years of good song when singing nunchaku, ninja, Longquan, colleagues around friends have cursed you 90 ah, so you will sing the song of the tide. 13 years to sing the same song, the people around should do why do nothing to you. 97 years after the film pretty, it's aesthetic could not stand it, much less than the film for 97 years, this is simply a bluff and deceive no sincerity. Don't talk about going to the cinema. There's no money on the Internet.",0.749381
10,"17年前，成全了别人，陶冶了自己。17年后，成全了别人，恶心了自己。李小璐柯基式跳水真是逗死我了。biaji趴水面儿上了，水花没压好。最后是致敬庐山恋，我爱你！祖国！唉，王朔啊。1997年过去了，我很怀念它。","17 years ago, the whole of others, edify themselves. 17 years later, the whole of others, nausea. Li Xiaolu kolkie dive really made me kill me. Biaji is on the surface of the water, and the water is not pressed well. The last is to pay tribute to the love of Mount Lu, I love you! Motherland！ Alas, Wang Shuo. 1997 passed, and I miss it very much.",0.738037
10,"2013.12.23.658 好作,加上今天早上冯小刚的微博,在豆瓣每个人都可以当个所谓影评人的时代不知道他在喷谁,烂了就是烂了,拍的看起来振振有词,仔细想想就是表面上吓唬人","2013.12.23.658 good, plus this morning Feng Xiaogang micro-blog, who didn't know he was sprayed in watercress and everyone can be a so-called critics of the times, is rotten rotten, took looks carefully is to scare people What one says is plausible., on the surface",0.781192
10,"2013.12.29","2013.12.29",1
10,"2014年4月6日看的。感觉不怎么样，不像喜剧，也没伦理，最后结尾更是大扯，失望。","I saw it in April 6, 2014. Feeling not good, unlike comedy, not ethical, the end of the end is more tearing, disappointments.",0.743604
10,"2014春晚小品类节目预告。。。结尾升华得真突然，这要是小学生作文我能理解，可这是花了钱去影院看的名导作品，我都不敢让我爸妈知道。","2014 spring and evening sketch program. At the end of sublimation really suddenly, if the pupil composition I can understand, but this is the money going to the cinema to see the introduction of works, I can't let my parents know.",0.72228
10,"2bmeiwenhua","2bmeiwenhua",1
10,"5年内唯一一支让我看到一半就忍吐离场的电影,为了葛大爷,为了王朔,为了冯小刚,我一直在努力的寻找笑点搏自己一笑,但我失败了,我想也可能是时代已将我的笑点提的太高...","In the past 5 years, the only movie that I could see half of the time was Wang Shuo. For Feng Xiaogang, I had been trying to find a laugh and laugh at myself, but I failed. I think maybe the time has raised my smile too high.",0.767923
10,"crap","Crap",1
