"ranking","Chinese.origin.data","Yandex.translated.data","Baidu.English.sentiment.analysis.postitive.probability.base.on.Yandex.translated.data."
20,"........冯小刚？？？","........ Feng Xiaogang it???",0.204926
20,"1.广告多；2.说教目的性太强；3..2分送给白百合的小肚腩。。。","1. Advertising; 2. A didactic purpose is too strong; 3..2 distributed to the white Lily of the small pot it.",0.247174
20,"12.21作为老姐的电灯泡不花钱的看了一眼，毫无主题，想表达的太多又没有能力，导致最后要啥啥没有，一个网友说的准确：几个相声串在了一起。","12.21 as a sister of the light bulbs at no cost to glance at, no theme, want to Express too much and have no ability to lead finally to what what not, the one users say accurate: a few comic series together.",0.295529
20,"13，路易的......","13, Louis.......",0.297777
20,"1算不上是一部完整电影 2第一个故事具有说服力和讽刺意味 3后面两个故事很牵强 4非常厌恶最后的环保说教，电影就是电影，如果仅仅用说教的方式呼吁大家环保那也太低级了 5有一定笑点 如果只是想笑  这电影值得一看 6电影不是小品不是恶搞的段子  冯小刚显然只是想骗钱","1 is not a unit full movie 2 The first story is persuasive and ironic 3 behind the two stories are far-fetched 4 very obnoxious final environmental preaching, the movie is the movie, if only with didactic way to appeal to everyone and environmental protection that are too low. 5 There is a certain punchline if you just want to laugh this movie is worth a watch 6 movie is not a Comedy is not a spoof piece of Feng Xiaogang obviously just wants to cheat money",0.271023
20,"2013 12 29 with AJN，额………………我只记得和谁看的了","2013 12 29 with AJN, the amount of.................. I just remember and WHO to see.",0.285901
20,"2013／12／20 @开明。21：10。Depp。为打发时间而看。一般。","2013／12／20 @enlightened. 21: The of 10. Depp is. To pass the time and to see. In General.",0.282321
20,"3T公司的梗玩了20年确实有点长，如果冯导拍得压根不是喜剧就别跟票房较劲了。况且片子看似讽刺实际一点内核也没有，有现象没观点，还挺装逼。冯小刚一直没明白一事儿，人民连现实都没多关心，更别指望一部片子能引起全民热议了，您责任真没那么重大。PS：挺不明白王朔这种人怎么煽情起来也这么不矜持呢","3T the company's Terrier to play for 20 years is a bit long, if von pilot went for even not a Comedy don't talk to the box office rivalry. Moreover, the film seemingly ironic the actual point of the kernel also no, there phenomenon no view, but also quite loaded to force it. Feng small just straight didn't understand one thing, people even real no more care, more don't expect a movie can cause the popular hot, your responsibility is really not so significant. PS: quite don't understand Wang Shuo this person how sensational it is also so not reserved it?",0.29085
20,"5段故事：1-10分，监狱；10-46分，清官梦；46-77分，雅俗辩；77-97分，有钱人的一天；97-110分，向阳光、森林、草原、江河道歉。主题到底是啥，主角心理、情感、动机是啥？独白是不是太多了？","5 Section story: 1-10 points prison; 10-46 points, the honest and upright official dream; 46-77 points, YASU defence; the 77-97 points, the rich one day; 97-110 min, sunshine, forests, grasslands, rivers, and apologize. The theme in the end is what, the protagonist of the psychological, emotional, motivation is what? A monologue is not too much?",0.276118
20,"just so so","just so so",0.29891
20,"TM能告诉我结尾那段是什么情况，臭狗屁么","TM can tell me the end of that period of what is the case, smelly shit?",0.294968
20,"wtf??????????????????咱还不如去看高德的游戏！！！！！！！","wtf?????????????????? We might as well go watch a high de games！！！！！！！",0.0285434
20,"一上映大家就说很烂，终于找了个时间跟同事去看看到底有多烂，结果我俩都在片尾曲的时候才醒来，依然没搞清楚具体怎么烂，而且回到家已经凌晨了...","A release everyone will say sucks, finally find a time to talk to colleagues to see just how rotten, and I were both in the ending song when they Wake Up, still not figuring out specifically how bad, and get back home already early morning...",0.185861
20,"一不小心看睡着了三次，感觉是好几个客户的私人订制故事拼起来的，最后自己彻底清醒的时候就开始跟大自然道歉了，不知道是想表达什么，跟电影主题有什么关系吗？","A accidentally see asleep three times, feeling is quite a few customers of the private custom-made stories together, and finally myself completely awake when he started with nature to apologize, do not know want to Express what, with the movie theme what is the relationship?",0.223659
20,"一个公司就两个半人，","A company just two and a half people,",0.274485
20,"一个司机有那么多钱？电影有太多bug了，垃圾得不忍直视","A driver with so much money? The movie has too many bugs, the garbage was not the look",0.217537
20,"一个字，乱！想讽刺社会的各种现象，却让人毫无头绪！","A word, a mess! Think ironic social phenomenon, but people have no clue of!",0.239039
20,"一个字，俗；两个字，很俗。如果就为了票房或者什么人情而拍个电影，你他妈滚蛋。。。蛋。。。","A word, vulgar; two words, very vulgar. If you to the box office or what the situation and shoot a movie, you fucking fuck off to... Eggs and...",0.283067
20,"一个字。烂！","A word. Rotten!",0.288556
20,"一个导演光有情怀还不够，首先得是个导演啊","A Director light there pregnant not enough, you first have to be a Director.",0.232908
20,"一个导演带着一群优秀的演员拍了一部小成本的电影，剧本放在十年前还略有创意，可现在看来还是稍缺诚意。。","A Director with a group of excellent actors to shoot a small-budget movie, The script is put in ten years ago also slightly creative, but now it seems still a little lack of sincerity. in.",0.227617
20,"一个莫名其妙的结尾把电影从几近四星拉回了二星…导演你到底要干嘛？","A somehow the end of the film from almost four stars back to two stars...the Director you really want?",0.235694
20,"一个说相声的，非要天天努着劲儿搞诗歌朗诵，自己不累观众看着都累，何必呢","A said comic, I have to-day nu 着劲儿 engage in poetry readings, their not tired audience looked tired, so why bother?",0.178641
20,"一分半，一分给范伟，半分给葛优","A minute and a half, a give fan Wei, a half to GE",0.270428
20,"一分给宋丹丹，一分给弹棉花的导演，最后道歉那段好矫情。。。","A give song Dan Dan, a divided elastic cotton Director, and finally an apology that better pretense that...",0.233
20,"一分给甲方乙方，一分给宋丹丹","A give to the Party a party B, A points to the song Dan Dan",0.210737
20,"一分送给葛大爷……一分送给天浴女……","A distribution to GE....... A distributed to-day bath for women......",0.101822
20,"一句话总结，太令我失望了................","One-sentence summary, and disappoint me.................",0.296563
20,"一周前看的现在才想起来我看过了。","A week ago, look now only to think of it I've seen.",0.287945
20,"一嘴子京油子的都不太待见，从结巴的文章到矫情的白百合和大脑门黑脸王珞丹，一看一百个不喜欢。","A spout Viking sharper's are not quite like that from the stutter of the article to the hypocritical white lilies and brain of the door a black face, Wang Luo Dan, a look at a hundred do not like.",0.296057
20,"一场YY的梦，到底成全了谁恶心了谁。时间都去哪了？","A YY dream, in the end all who are sick who. Time?",0.254212
20,"一帮明星过戏瘾。生活进步了，可怎么连话都不会说了呢？","A bunch of stars over game addiction. Life progressed, how even the words are not said?",0.198938
20,"一年不如一年……","A year less a year......",0.167619
20,"一年就看一回葛大爷，这次真失望","A year would see a return to GE uncle, this time really disappointed",0.285079
20,"一开始吧 我以为主题是要唱红打黑 再看以为是假反俗真自嘲 看着看着又发现把父母情扯进来了 妈的最后居然是宣扬环保 一口气讲那么多主旋律能好看吗？","A start. I think the theme is to sing red strike black look at the thought is a fake anti-folk really self-deprecating I watched and found that the parents ' case involved a mother finally is actually advocating environmental protection in one breath talk so much main theme can look good?",0.26585
20,"一星：过去的情分。一星：辛苦分儿。本来还可以有一星，被小炮自个儿轰掉了。","A star: the past of mutual affection with. One star: hard points. Could also have a star, is a small cannon myself blow.",0.287738
20,"一星李成儒，一星范伟。","A star Lee sung Confucianism, a star fan Wei.",0.286471
20,"一星给一众老戏骨，一星给插曲","A star to a congregation of old drama of bone, a star to the episode",0.280677
20,"一星给三亚的美景 一星给王铮亮的时间都去哪儿了","A star to Sanya beauty of a star to Wang Zheng Liang the time went.",0.261215
20,"一星给冯导，一星给一起看的小伙伴","A star to von guide, a star to watch with friends",0.289709
20,"一星给冯小刚，一星给葛优。李小璐露豪乳，真的吗？白百合最后也有露沟，真有这么大吗？","A star to Feng Xiaogang, one star to GE it. Li Xiaolu Lu Hao milk, really? White Lily finally also have exposed the ditch, really have so big?",0.171974
20,"一星给宋丹丹 一星给王铮亮唱的歌。恶心自己，成全别人。真心恶心我了。","A star to the song Dan Dan a star to Wang Zheng Liang sing the song. Nausea themselves, the sake of others. Truly disgusting to me.",0.292654
20,"一星给宋丹丹，一星给时间都去哪了","A star to the song Dan Dan, a star to time?",0.196469
20,"一星给宋丹丹一星给郑恺 不能更高了 什么玩意儿啊","A star to the song Dan Dan a star to Zheng Kai could not be more high The what the hell?",0.284228
20,"一星给宋丹丹和范伟，一星给葛优。太难看了，看不下去！强忍着好奇心看完，完全是想证明是不是真那么烂！完全笑不出来！说升级版的甲方乙方也太恶心甲方乙方了吧！完全看不到一点诚意！充斥着广告！冯导歇了吧。","A star to song Dandan and fan Wei, a star to GE it. Too hard to see, and see not to go! Fight back with curiosity to see the finished, completely is to want to prove is not really so rotten! Completely smile not to come out! Said upgrade version Party a party B are too sick to party A and party B! Completely can not see the little sincerity of it! Littered with ads! Von the guide the break in.",0.0920349
20,"一星给摄影 一星给灯光 小刚导演为什么要这么玩电影要这么玩观众 有意思吗","A star to photography a star to light small just Director why would you play the movie you want to so play the audience interesting?",0.108801
20,"一星给最后的道歉，前面大半部分太没诚意了，看得我只想快进快进快进","A star to the final apology, the front half portion is too no sincerity, look I just want to Fast Forward Fast Forward Fast Forward",0.265887
20,"一星给李小璐的假胸，一星给海南确实唯美的风景。","A star to Li Xiaolu fake chest, a star to Hainan, really beautiful scenery.",0.250867
20,"一星给李小璐的身材，一星给郑恺，over","A star to the Li Xiaolu shape, a star to Zheng Kai, over",0.274099
20,"一星给海南，一星给葛大爷","A star to Hainan, a star to GE.",0.254122
20,"一星给海南的景，一星给李小璐的胸，不能更多了。","A star to Hainan's view, a star to Li Xiaolu's chest, not more.",0.253761
20,"一星给王宝强，一星给范伟~冯导在结局部分是想拍成环境宣传片吗？","A star to the king of treasure is strong, a star fan Wei~von guide in the ending part of the want to shoot into the environmental propaganda film?",0.292545
20,"一星给甲方乙方 一星给弹棉花","A star to party a party B A STAR to elastic cotton",0.212085
20,"一星给老戏骨，一星给董咚咚跟陈曦，以上。","A star to the old drama of bone, a star to the Dong pound with Chen XI, above.",0.289739
20,"一星给腕儿，一星给胸，无他！","A star to watch daughter, a star to the chest, without him!",0.261544
20,"一星给自己今天靓靓的心情，一星给丹姐。半星纪念一起看电影的大家庭。","A star to yourself today to pretty up the mood, a star to Dan sister. Half-star honor movies with the family.",0.264864
20,"一星给范伟，一星给...时间去哪儿了","A star fan Wei, a star to...time?",0.212869
20,"一星给范伟，一星给最后的道歉","A star fan Wei, a star to the final apology.",0.279047
20,"一星给葛大爷，一星给丹丹姐。几个完全没有联系的故事，快被别人玩坏的段子，这完全是部没有诚意的电影，当时冯小刚的1942赔了，于是就要这样糊弄观众赚回来吗。最后的那段道歉虽然很感人，但觉得好生搬硬套呀。护舒宝，快醒醒吧，别拍这些烂电影恶心人啦。","A star to GE uncle, one Star for Dan Dan sister. Several completely no contact story, soon to be someone playing a bad joke, which is totally no sincerity movie, when Feng Xiaogang's back to 1942 lost, so would this fool the audience to earn back. The last section of the apology, although very touching, but felt good mechanically. Whisper, quickly Wake Up, don't shoot these rotten movies disgusting people.",0.298171
20,"一星给葛大爷，一星给我脑残粉的白百合。土豪升级版的梦想一日游。故事没有一条主线。最后结不了尾就瞎扯一个。","A star to GE uncle, one star to my wars of the white Lily. Tyrant upgraded version of dream day. The story is not a main line. The last knot will not tail on the gab one.",0.272652
20,"一星给郑凯，一星给葛优的光头","A star to Zheng Kai, a star to GE bald",0.291248
20,"一星给郑恺，还一星还给郑恺。。","A star to Zheng Kai, also a star back to Zheng Kai... and",0.216316
20,"一星给风景，一星给王铮亮和羽泉的歌……","A star from a star to Wang Zheng Liang and Yu Quan song......",0.177108
20,"一点儿意思也没有，愣是结尾闭幕才笑了一声。","A little meaning also have no, froze is the end of the closing before laughing loudly.",0.29892
20,"一百分钟的2013版甲方乙方加上十分钟的公益广告。","A percentage of the Minutes of the 2013 edition of party A to party B plus the ten minutes of public service advertising.",0.262068
20,"一盘隔了多年的冷饭怎么能炒热？","A disk partition with many years of cold meals how could the Sizzling be?",0.24789
20,"一种似曾相识的赶脚，我以前不是看过这个贺岁片么？片段搞到一块就贺岁？","A deja vu of the best DJ, I've not seen this surreal? Clip to engage a piece on the new year it?",0.218367
20,"一种俗是接地气儿，一种俗是恶心别人；电影的宗旨是恶心别人成全自己吗？可冯导您是俗免疫雅过敏吧？","A vulgar ground gas children, a vulgar is disgusting to others; the film's purpose is to nausea others fulfill their own? Available von guide you is a vulgar autoimmune ya allergies?",0.122577
20,"一群人说可以为你实现梦想喔 你觉得靠谱吗","A group of people that can for you to achieve the dream Oh you think you fly?",0.214211
20,"一部mini长篇完整版广告。。。","A mini length full page ad is...",0.228519
20,"一部一塌糊涂的冯氏喜剧，难以相信这是当年拍出了天下无贼和甲方乙方等电影的冯导啊！还有李小璐怎么美得那么淘宝味十足呢？","A mess of Feng's Comedy, it is difficult to believe that this is the year to shoot a world without thieves and the Party a party b of such films as von guide! And Li Xiaolu how beautiful then Taobao the full flavor?",0.250999
20,"一部三个小品组成的电影！！！莫名的开始又莫名的结束，笑点太少.....都被预告片骗了！","A portion of the three sketches composed for the movie now! Inexplicable starts and inexplicable end, laugh too little..... Are trailers lie!",0.283286
20,"一部不知所云的片子……为什么葛优会接这种片……匪夷所思","A portion of the incomprehensible....... Why GE will pick up this sheet...... Bizarre",0.238911
20,"一部乱七八糟的电影，唯一的可取之处只有现实讽刺了","A mess of a movie, The only merits of the only real irony.",0.298385
20,"一部完全想要升级甲方乙方，却恰恰丢掉了精髓的烂片。喜剧？没笑点。剧情片？胡编乱扯。讽刺？处处藏着掖着给自己原场，生怕得罪谁。整体感觉就是风格多样到没有风格，一会向西一会向东。耍几句贫嘴硬撑不了场面，冯式喜剧和王朔没有了尖酸刻薄和针砭世事，就没了精神所在。","A completely want to upgrade party A to party B, but precisely the lost essence of the rotten piece. Comedy? No punchline to. The plot sheet? Cooked up a mess tugging. Sarcasm? Everywhere hiding to their original field, for fear of offending anyone. The overall feeling is varied in style to no style, while to the West while to the East. Playing a few words garrulous soften up not scene, von formula Comedy and Wang Shuo is not a tart and commented on things, no more spirit.",0.105096
20,"一部当了婊子还想立牌坊的片子！话说王塑你肿么啦？","A portion of the When the bitch wanted to stand Arch of the film is! Saying the king of plastic you swollen?",0.292701
20,"一部没有中心思想的电影，因为没有思想可言，却想装有思想，却又没装成功。能看。","A portion is not the Central idea of the movie, because there is no thought at all, but thought with thought, but didn't pretend to be successful. To see.",0.277347
20,"一锅乱炖，四不像。","A pot mess stew, four do not like.",0.289209
20,"一颗星有点太过分，毕竟没烂到那地步，但是两颗星真的不能再多了","A Star a bit too far, after all not bad to that point, but the two stars really can't more",0.296121
