"ranking","Chinese.origin.data","Baidu.translated.data","Google.English.sentiment.analysis.score.base.on.Baidu.translated.data."
20,"2.8  太梦幻！","2.8 fantastic!",0.800000012
20,"2013 经典词汇 私人定制","2013 private customizing of classical vocabulary",0.800000012
20,"2013.12.20  小品集合，感觉太铺张，有些台词还是不错，其实有葛大爷就很满足了~~~","2013.12.20 small collection, feeling too spread, some of the lines are still good, in fact, a great grandfather is very satisfied to ~ ~ ~",0.899999976
20,"9块9的电影，看得我惊心动魄，总怕他的小故事一直说下去","9 pieces of 9 movies, I am very thrilling, always afraid of his little story keep going.",0.800000012
20,"interesting 你们感觉一下","Interesting you feel a little bit",0.800000012
20,"一星给景色，一星给郑凯吧，没多大劲，真要说那比不二神探好一丢丢","A star to view a star to Zheng Kai, not much to say, really good than Fuji detective a Diudiu",0.899999976
20,"一点都木有爱 想看有爱又搞笑的贺岁片","A little love to see whose love and surreal art",0.899999976
20,"一笑而过","Laugh",0.800000012
20,"一部能让华谊兄弟跌停的电影，一部由三个春晚小品加一段配乐诗朗诵组成的电影，这是一部笑点很低而笑料离生活很远的电影","A movie that allows Huayi Brothers to stop, a movie composed of three Spring Festival Gala pieces and a duet poem recitation. This is a movie with a low laugh and a far cry from laughter.",0.800000012
20,"一颗心给稀稀拉拉的笑点，一颗心手抖多打的","A heart to a bursting point, a heart attack tremor",0.800000012
20,"一颗给宋丹丹，一颗给鲜肉郑凯","One for Song Dandan, one for fresh meat, Zheng Kai",0.800000012
20,"三亚真是个好地方","Sanya is a really good place",0.899999976
20,"不伦不类，喜剧不喜剧，深刻不深刻，胡编乱造","Not neither fish nor fowl, comedy comedy, profound, fabrications",0.899999976
20,"不像电影，就像是这帮人凑一乐子，酒桌上聊出来的不加修饰的剧本，完全不修饰，自己逗自己玩儿。","Unlike the movie, like this to help people get fun out of chat table without modification script, without modification, you tease yourself.",0.800000012
20,"不好笑  俩小时能笑五次就不错了","It's nice to laugh five times for two hours",0.800000012
20,"不如再看一遍我的恋爱操作团","It's better to see my love operation again.",0.899999976
20,"不如坐在家里看一段搞笑视频。","It's better to sit at home and watch a funny video.",0.800000012
20,"不如干脆拍成电视连续剧","It's better to make a TV series",0.800000012
20,"不如看小品","It's better to look at the sketches",0.800000012
20,"不明觉厉","I don't quite get it, but I think you are really terrific",0.800000012
20,"不疼不痒，将将及格","No pain, no itching, will pass",0.800000012
20,"东拼西凑、为搞笑而搞笑的电影。","The funny, put all sorts of things together for funny movie.",0.800000012
20,"两星很良心了，因为我家小哥哥给我肩膀靠还有实诚的范伟大叔。","Two very conscience, because my little brother gave me his shoulder and honest uncle Wei Fan.",0.899999976
20,"两星给我喜欢的演员","I love the actor to star",0.800000012
20,"丹丹姐好感人~~~","Dandan sister ~ ~ ~ good people",0.800000012
